mean_b,label
41.18571922,0
19.90928811,0
11.67699453,1
11.27937793,0
43.98500083,1
24.96000081,0
51.61438397,1
52.50968965,1
19.16492804,1
63.70003775,1
7.489281124,0
41.1881003,0
27.56481467,0
15.40202521,0
30.85480637,0
51.60874213,1
17.47348279,0
22.35400213,0
55.02544663,0
6.432609523,0
45.43356899,1
57.35643057,0
11.7105089,0
53.78839696,0
63.91496979,1
62.88625115,1
33.95315991,1
64.99855562,0
7.43300008,0
60.6547821,1
7.854820932,0
34.93999107,1
32.48289581,0
23.64480678,0
28.70138017,1
61.23797875,0
52.93563518,1
41.00340831,0
78.98114381,0
33.66051198,0
30.71608428,0
82.83389848,1
10.93176787,0
54.80070522,1
36.28272447,0
28.75758496,1
41.1058787,1
18.85143643,0
33.05589414,0
35.03777039,1
39.51164674,1
61.78084263,0
33.61095264,0
12.23807957,0
45.70737582,0
58.46638145,0
45.22449785,0
51.90363879,1
16.58485665,1
2.630107617,0
56.67261828,0
31.6695001,1
49.48681964,1
28.35403958,0
51.3147025,1
43.21347877,0
54.239819,1
47.20896779,1
60.35143871,0
49.87483818,1
28.36734659,0
22.1765514,0
58.40161655,1
25.58159341,1
29.65025675,0
72.11401744,1
19.35011186,1
53.79478502,1
24.26532896,0
11.12023493,1
62.9674704,1
40.42710383,0
32.68410716,0
43.27452832,1
72.82569389,1
11.11458012,0
22.50864047,0
22.43972103,1
21.2714655,1
63.66611934,0
23.39864087,0
37.86792506,1
65.17936211,1
6.670781175,0
50.13466577,1
44.85791925,1
43.58694638,0
19.63979064,1
32.14611233,0
38.559456,1
47.50061662,1
21.41365535,0
25.8736117,0
18.85424084,0
68.17623977,1
56.59744122,0
44.86459065,1
45.27662603,1
12.02473223,0
20.08649123,0
55.27944509,0
81.45457102,1
9.394253813,0
22.70746832,0
38.70292897,1
73.40745329,1
31.01223014,0
15.81808279,0
27.09333283,0
39.49641683,0
83.76686319,1
21.44061052,0
67.45263309,1
57.73972653,1
90.04134671,0
28.97113895,1
46.94070441,1
32.17098455,0
70.97683702,0
