Metric,Value
Accuracy,0.7272727272727273
Precision,0.7058823529411765
Specificity,0.7058823529411765
Recall,0.75
F1 Score,0.7272727272727272
ROC-AUC,0.8125
PR-AUC,0.8453404234654235
