mean_y,std_y,skew_y,label
44.16397231,91.596395,1.613059975,0
21.09398057,66.90396453,2.896930942,0
11.9702806,51.89560622,4.182131133,1
11.57479174,51.12089262,4.274683858,0
40.77347198,85.79933376,1.674838771,1
26.94145862,72.71237131,2.382849261,0
51.08025995,94.98933152,1.359861289,1
49.12156381,91.82489244,1.369139792,1
20.45197303,64.49389198,2.886680493,1
64.0360841,106.9619953,1.099351874,1
7.87421407,40.43538048,5.20467589,0
40.96605538,90.09769704,1.777430453,0
27.68443939,75.29762446,2.396104119,0
15.84383978,59.55601917,3.552050543,0
33.88028169,77.30771773,1.908815512,0
51.11164615,91.24443741,1.275804854,1
19.07324485,62.4523796,3.063276077,0
22.40159769,69.86594252,2.833801957,0
58.243821,92.99023658,0.998351141,0
6.801924754,37.68239388,5.650918166,0
48.3568919,92.75374279,1.427729683,1
53.84677084,94.74339231,1.225190873,0
11.36373234,50.33774967,4.286329847,0
61.44984717,90.37391783,0.816346826,0
64.22509029,106.7263721,1.078117148,1
65.05489977,106.9005423,1.057242187,1
35.93809409,83.65592704,1.937852357,1
68.06811453,105.3731152,0.916453428,0
7.508133526,39.92288843,5.362589669,0
62.61406478,103.8205223,1.083393643,1
8.208043882,43.15773691,5.176580752,0
36.26630722,80.38015025,1.807876488,1
34.47813284,77.51747279,1.865666147,0
22.29587041,66.99826955,2.744128506,0
28.39668721,74.98429695,2.311814735,1
67.15163103,99.71378898,0.833049526,0
48.916454,91.23756463,1.361368009,1
39.38920871,86.99047454,1.774062753,0
82.38609782,114.0625237,0.66990574,0
35.3429784,79.7571628,1.861634894,0
28.90271686,66.92778512,1.946012579,0
76.21319865,108.6038307,0.735641218,1
11.54889545,49.78583575,4.222950021,0
54.84996153,97.89188397,1.248241923,1
37.33702143,78.80186961,1.716977091,0
31.4036213,73.18408942,1.965822511,1
38.46323851,85.76645422,1.818258684,1
19.39669061,64.31707933,3.087348961,0
33.34901868,81.86526517,2.076979447,0
33.17750426,76.65156866,1.917038685,1
37.88036106,85.85603784,1.852731109,1
63.44636788,101.5852445,1.008197087,0
35.48956301,80.81661519,1.876988808,0
12.53639638,52.4319975,4.029463034,0
41.75040817,86.73586589,1.612177699,0
60.61127043,100.2895897,1.074897916,0
45.99599252,89.54605393,1.46518074,0
54.0645146,98.33898088,1.29217496,1
17.21443502,60.41036147,3.285867966,1
2.780848439,24.04014219,9.032656208,0
61.17194395,97.5688706,1.003129786,0
33.62649424,78.60755884,1.94848675,1
49.21769368,95.46789288,1.452258685,1
29.26325366,76.46753596,2.305382502,0
51.47770226,87.0197647,1.166175173,1
51.12259814,85.63725671,1.119387338,0
53.42394402,99.32292194,1.351004658,1
47.22738172,92.18113101,1.484212965,1
62.75055296,99.21548074,0.985611934,0
49.04910059,91.62059897,1.364613895,1
31.97077079,72.58111448,1.879767357,0
21.74754083,64.090969,2.708098202,0
62.8286822,95.75433952,0.910687345,1
26.37292739,73.3751139,2.470740761,1
28.09116444,73.55328165,2.274258697,0
67.80733572,102.6294926,0.881525955,1
20.10577911,63.24828996,2.900433685,1
53.83886191,100.8365232,1.357089353,1
26.51319169,67.40427709,2.237071938,0
10.59784008,48.38299128,4.442025878,1
61.76667616,101.9204259,1.069715086,1
40.82908476,87.89505941,1.74024987,0
31.42787715,73.58933671,1.943921165,0
43.90149928,90.27692695,1.609822982,1
73.28074647,108.3029319,0.821579547,1
12.71348594,50.33985439,3.841873905,0
24.63028058,66.05808195,2.391235338,0
23.54723381,67.63154314,2.615311203,1
21.56800573,60.37934557,2.551488885,1
61.46891686,101.3536299,1.062032529,0
21.98135438,66.81702373,2.766058919,0
40.96466208,84.52555803,1.624125754,1
69.00251937,104.2268744,0.866381884,1
7.037429321,40.19905191,5.644894967,0
46.0584515,86.77621457,1.389810968,1
44.44489102,93.41654525,1.650519272,1
49.53312846,89.73961357,1.30099194,0
18.92196807,63.22908947,3.106727091,1
35.15966775,78.9094895,1.847537505,0
40.08695903,83.79005784,1.649649223,1
49.43779579,93.39551407,1.387764508,1
23.00646556,69.88947392,2.75023245,0
27.14640031,73.04178193,2.381901167,0
21.46912528,63.05983164,2.676588927,0
70.96984385,103.8825708,0.809249142,1
64.48230106,94.42944905,0.823043702,0
46.82290916,93.80803627,1.52731645,1
49.47145965,89.30561612,1.291558192,1
12.5298256,52.52478321,4.049586915,0
20.52136884,65.71171765,2.962150353,0
51.25905233,95.6435265,1.343341156,0
75.11197635,108.3139846,0.770213882,1
9.811218273,45.09667641,4.510532459,0
24.31314589,64.82557061,2.374754436,0
39.10084245,85.78748318,1.772328103,1
67.88353645,104.7692193,0.926039894,1
32.73268599,75.15688041,1.923026662,0
16.6204162,61.17285061,3.442844966,0
28.26187905,76.65297193,2.393507434,0
39.28770379,88.3749908,1.824122864,0
76.7290757,104.9868211,0.659571375,1
21.88714104,68.62926101,2.875828453,0
66.60195383,106.2395493,0.982669373,1
59.93509492,104.4096201,1.184381593,1
80.80884088,105.0471323,0.552535063,0
27.34611645,71.80674697,2.330268356,1
47.5681994,94.51476594,1.53170671,1
32.42378279,79.55937768,2.085616984,0
66.22527738,102.2349851,0.919266175,0
