mean_l,mean_a,mean_b,std_l,std_a,std_b,skew_l,skew_a,skew_b,label
26.5365059,6.095717775,-2.781866313,40.31013513,9.931401071,4.758925744,0.88076161,1.31069546,-1.445885228,1
7.877983908,1.411403835,0.265157947,24.97307215,4.681373554,1.265314573,2.898979638,3.54603472,4.179996513,1
21.10269662,1.125046126,-0.104343227,39.6312814,2.674111703,1.309505332,1.356831171,2.588214972,-0.754397595,1
10.44395542,3.255834727,1.002642421,26.82912056,8.223708256,3.273320078,2.233359192,2.543090564,3.406013319,0
4.131957372,0.542389572,-0.316880944,19.01392511,2.74546963,1.63959266,4.441298816,6.670632511,-6.924243563,1
24.3341481,1.684255157,-0.779350036,40.28370969,3.605842443,3.633381443,1.068086124,2.106196233,-1.81939357,1
15.97276718,1.753725761,0.003504074,34.65456555,4.089857512,1.271830249,1.739519734,2.582351931,-1.826827702,0
12.43088563,2.518523336,-0.893301684,29.20817983,6.334961614,2.266003573,1.943629168,2.486728042,-2.45782918,0
17.19662694,1.970623403,0.10322897,35.57839448,4.301327123,0.937040055,1.609305143,2.193740265,0.68479079,1
28.75554666,2.896555246,-0.061764943,42.63391319,4.653759601,1.745335517,0.820917646,1.419790426,-0.364224098,1
4.991884756,0.74474006,0.784266306,20.01754448,2.979380945,3.493938717,3.837345518,4.867041923,4.809634475,0
9.691205289,2.612761824,0.948668224,26.26176905,7.010011828,2.997062178,2.389046898,2.756576775,3.657016684,0
9.209372294,1.563245055,0.423927195,26.74468252,4.734563768,1.620886163,2.613399952,3.423339722,4.051356199,1
8.495457329,2.393206069,-0.074739388,24.0558021,6.590146813,0.956904088,2.546386625,2.851898302,-1.32955222,1
24.07123734,4.236497494,-1.530539435,39.79750689,7.622635897,2.809567988,1.061935181,1.523128117,-1.729879362,0
8.586937321,1.620185662,-0.875983873,26.2593725,5.239948162,2.890297055,2.76566057,3.604631674,-3.71638537,0
16.12062791,3.100183459,1.409972082,33.46676986,6.585810487,3.142265814,1.622723267,1.960427492,2.256556201,1
27.1597134,3.733207132,1.716641548,41.11201327,6.432196179,3.861314148,0.865556972,1.485822761,2.14592095,1
2.757747756,0.077064344,0.180426349,15.87058776,0.584182821,1.268865453,5.64202254,8.15637443,8.284846659,0
18.05660042,5.816716583,-2.614630326,34.1671368,11.35118709,5.479487069,1.388506034,1.679830942,-1.905643741,1
17.41334521,1.159136303,-0.335962057,36.72050417,3.300542663,1.658804217,1.650153819,3.323285187,-4.131761361,1
19.5663933,3.875817019,2.928717106,35.64713798,7.441753739,5.834949373,1.299474759,1.612331949,1.987659418,0
7.394505414,0.842486502,-0.448017488,24.8900294,2.977679781,1.547097577,3.106042609,4.443896499,-4.121854995,1
13.84780311,2.977473285,1.397046936,31.26715738,6.895892151,3.410139928,1.84562597,2.217349257,2.381156412,0
15.84551087,1.413024175,0.634333334,33.30960688,3.085907382,1.526496368,1.648572874,2.28108489,2.979712205,1
19.4209247,2.63409617,0.774219392,36.83840352,5.198175449,1.764320516,1.386980662,1.814997707,2.374498679,1
9.043444093,0.439171754,0.785636617,27.59714229,1.747355541,3.012048029,2.748812764,4.210753662,4.39068183,0
10.65502043,1.373655238,0.535619573,28.86472988,4.221603147,1.763106889,2.379619009,3.518562333,4.072245773,0
8.471752197,1.965970808,1.278741443,25.07629351,5.89320709,4.050223217,2.672404892,3.093552783,3.254757646,0
27.90555624,4.601479217,1.105450162,40.99228273,7.472026443,2.00043739,0.80809857,1.224077967,1.880880262,1
25.5387504,7.05254988,3.86867751,37.61085955,10.23731963,5.983396455,0.820973262,0.986154646,1.212157253,0
18.4010458,1.405913567,0.895225632,36.96975582,3.502186653,2.467736649,1.526170439,2.82350809,3.28300782,1
19.4963647,4.335659861,1.931044946,35.40520993,7.850292901,4.070059039,1.289867528,1.527163802,2.246703382,1
4.906198198,0.291202199,0.225087987,20.73241336,1.556303875,1.2126177,4.046368528,7.485997349,6.792109216,0
8.030158403,0.700639588,0.130972247,25.90961552,2.658581154,0.667813646,2.960406485,4.807295697,4.965536659,0
20.03965187,4.100754304,-2.474080304,37.45409868,8.260545787,5.00464793,1.343592377,1.740268736,-1.773635307,0
29.33820251,5.569811409,-3.812677212,42.45701354,8.907152555,6.098378843,0.770509501,1.31779955,-1.316537496,1
3.847157136,0.567551334,0.159451223,17.83979132,2.869663534,0.747658717,4.505443085,6.034480199,5.414305952,0
9.568568725,2.681841003,0.640486434,25.78964866,6.862338206,1.887281571,2.373240413,2.593270233,3.330279705,0
15.33284773,2.242412415,-0.002341314,33.78702524,5.482384143,1.812721413,1.771829421,2.454806044,-2.538421361,1
26.49758313,5.08694261,-3.3415294,41.11727957,8.61930054,5.803053148,0.926259316,1.511601512,-1.568643733,1
12.87231252,3.59930333,0.661877051,29.79201352,8.418228969,1.903436402,1.921109771,2.226050304,3.155273057,0
6.53889733,0.086726873,0.40577235,24.12485887,0.848167064,1.963172575,3.440069707,6.815875131,5.76804656,0
11.0925695,0.451662986,0.543539221,30.25409235,1.706585921,1.747230704,2.391239217,4.766850012,3.815486357,0
15.4194541,1.048713355,-0.226500277,34.75562195,2.660760596,0.820153471,1.823149393,2.603131188,-3.152615566,0
30.00872258,8.457574736,-4.40853336,41.17873874,12.24874945,6.659259466,0.659089564,0.967046923,-1.055920955,1
8.570378214,0.427714702,0.165009717,27.04447748,1.685117364,0.629037714,2.874209469,5.295394754,3.593568977,0
26.10379291,2.97371486,-0.736987108,41.71191437,5.479067361,1.688590781,0.982314349,1.645977145,-1.959132586,1
23.55375629,0.800267235,1.054217344,41.1298966,2.409340707,3.385925488,1.183769199,2.593980784,3.216808311,1
31.58138,10.15009855,-5.676001252,41.19983589,13.5531453,7.752024346,0.552306996,0.7371151,-0.791932214,0
10.66376368,2.653583806,-1.072342514,28.29425234,7.341725966,3.288364145,2.329218546,3.017829462,-3.406566662,1
18.62789641,1.125863736,0.16803009,37.2952173,2.519086281,1.789277592,1.530402059,2.835905286,1.700655734,1
12.69838172,1.827110123,-0.051868302,31.32095466,4.778048435,1.376477928,2.085203882,2.729674856,-0.855631946,0
25.89490695,5.987946788,-3.005963994,40.11989746,9.693295261,4.907194426,0.919085229,1.261099815,-1.286867001,0
