mean_r,mean_g,mean_b,std_r,std_g,std_b,mean_lbp,std_lbp,SRE_deg0,LRE_deg0,RP_deg0,LGLRE_deg0,SRLGLE_deg0,SRHGLE_deg0,LRHGLE_deg0,LRE_deg45,GLN_deg45,LGLRE_deg45,LRHGLE_deg45,SRE_deg90,LRE_deg90,RLN_deg90,LGLRE_deg90,LRHGLE_deg90,LRE_deg135,RLN_deg135,LGLRE_deg135,LRHGLE_deg135,coarseness_tamura,contrast_tamura,directionality_tamura,label
47.47073007669599,43.05801026118702,41.18571922207282,97.8659157142516,89.6411305068024,85.73075732940198,223.6087528075539,68.94211069937145,0.8155711456529848,628.3696017274472,0.4676840215439856,0.148212130933954,0.0939522337687475,29777.543019790985,71078.89671305183,339.62433959858924,3379.0403393719635,0.1527554214157828,58294.1354088469,0.8112028892848252,684.7058246925303,40178.97512674028,0.147068595136209,73272.53021090197,310.087376851655,44530.47905592175,0.1522578120859412,58832.13900347296,7.331193708074488,66.444129676876,471.0761904761905,0
22.59013806534629,20.561959867151227,19.90928811142604,71.07519928751762,65.52824275486988,63.42862120647208,235.9054713175329,55.83417743564548,0.8201615763772758,1565.686373117696,0.2608912810114503,0.1862737695786746,0.1221956166301895,25902.40014441053,43708.77169471669,722.1792133927135,2360.33471052208,0.1892992656916321,38328.14618769115,0.8132254282752102,1242.3398197577635,21615.00843809196,0.1860464043633741,45096.409362263934,791.6019010493152,23530.43235521854,0.1890574194719227,37879.27960377006,5.174468344085273,38.196586970994005,449.2782494729044,0
12.506681825354118,11.75401253423854,11.67699453397151,53.599118543610814,51.256950605417536,50.924133985183616,239.07903286495147,52.108692681622415,0.770889459828652,1803.8981961235847,0.2317510673624288,0.2653353482733651,0.1656934703516056,18841.721436753523,29026.70655024628,1130.9715407551737,4071.7369291175855,0.2739850366856384,26015.91665928616,0.771858034289224,1670.0234507470327,17372.356624116197,0.265421611620198,30312.978052916147,939.720092881077,18367.84080888837,0.2754905423345423,25342.28214096761,5.475682039787508,25.01700555501507,457.9144625773776,1
12.135971503311628,11.346315467245503,11.279377933619042,52.940708468085,50.41285335225831,50.208228708848125,238.79577373332592,52.39873841572639,0.7517344720311417,1356.7554376657824,0.2315497248427672,0.2825432188943113,0.1744519361573266,16401.76623556702,42603.44940760389,726.8751497102903,4154.186482374648,0.2869046446740843,30795.08464700741,0.7461187236925917,1916.5445101716923,14340.609219448854,0.279700942936712,37659.6004905497,823.058504910758,15601.143961888603,0.2840843541025543,30801.84383463308,5.34355114005306,24.394778851574834,560.5732899022802,0
45.73353904234089,37.623260159398,43.98500082622567,95.21314153920572,79.97002201384622,92.32667245992155,215.332565367162,75.36502775028728,0.8238005871788893,408.8733308050061,0.6480106581125827,0.1838595902482501,0.1199404377885146,22036.04293491533,40367.92332182279,167.0415596304565,6197.406385741376,0.1883811628878974,33949.9154141484,0.8303422763382291,402.6466553667863,65739.16744846072,0.1840856356894576,38755.93092948086,161.29826724580823,69670.4708701135,0.1879845456575328,33815.53161459063,7.174838885993569,61.343704387162674,508.71398188953935,1
30.02953432367346,25.753301133750035,24.9600008117542,80.07587939642734,70.02878990692449,67.84872141799872,223.52496144167543,70.00748198760182,0.7997021351386397,354.2619669043455,0.3741643846649484,0.2191653557084682,0.1377182364114188,20049.952313452,29374.041409928697,162.85252344352412,3375.0898937890206,0.2259367623879403,25911.897644454395,0.7986887083417407,394.5915893364802,22246.38604301883,0.2187515819420577,29276.72255001877,190.35267924910187,23208.2984364722,0.2236344112353936,26776.062667611197,7.603647482209054,45.20906045688213,501.9583005982958,0
55.72894950444292,48.608627392344495,51.614383971291865,102.31890159826408,91.06508751017668,96.6237700680698,201.74901386990203,85.03243475333838,0.8436188070805364,133.60940120310036,0.7700516550164473,0.1946082513896291,0.1309776336598692,23637.293887309854,32113.253510433267,67.18642217155336,8225.741818940878,0.2010483441116806,30237.26969395292,0.8339827950636016,124.56875213675214,76519.06502564103,0.1933645328174343,34178.42194871795,68.63690298417106,82438.48126922114,0.2002861245470027,30621.2103126236,7.294094611528822,73.04887685142836,250.85017850547837,1
52.91481443230523,46.531396386759816,52.50968965084798,98.09046252902156,87.73021976843486,97.60156129017707,212.83696157336027,77.6001465585796,0.8248401503298842,259.80443364035773,0.6213399847571538,0.1718032060424458,0.1107990094290111,23184.59255613866,141747.55575503467,123.85753646005966,5062.504101756712,0.1749251413078414,55289.311868163735,0.8178433607816658,304.793255506559,56430.62052227616,0.1710130957242739,74870.14380921703,114.85592719046087,61320.73947966501,0.1751950152572619,55107.498894781085,7.888279469153198,70.39459002412204,564.3913786875376,1
22.806566582708403,19.502568694746305,19.164928040870787,71.22712947850525,61.88880160557596,60.81865473127376,234.5406388914655,57.90071689241065,0.8104271900104071,1270.770335441003,0.3387473861524163,0.2018421454569098,0.1333314998847944,21325.044774636688,38590.27885542814,649.6661720163438,3541.035696135629,0.203329505085365,33898.60703758665,0.8013374845405302,1632.6665934210816,27313.31439934958,0.200345696559744,42620.45278955811,618.2814913934676,29998.71729213552,0.2043561527618098,34001.53980901405,5.075537463699349,36.88746959326728,466.5026908511063,1
66.0463279596157,63.07738967594855,63.70003774925612,109.28328338698674,105.86736232331272,106.79335097761812,195.16792127429645,87.74467960304548,0.806625426970751,45.57176441474883,0.9459269662921348,0.2224825935197954,0.1466739622463171,24276.276339104264,62941.28554967829,28.299486678797024,11498.90856373615,0.229208338710736,53461.68964777586,0.7979345979983498,69.31454072264533,74440.2373584966,0.2199145676540787,70836.54098609315,29.43618305571808,81829.87466208459,0.2280578720745157,50738.23036017153,7.960892510843659,87.70166603246238,545.8852713178295,1
