Feature,Importance
LRE_deg90,0.12607329148475988
skew_b,0.09862015328793985
SRLGLE_deg90,0.0764725184970497
HGL_deg135,0.0654331940743968
mean_b,0.06456661730453522
std_a,0.06183192264091467
LRHGLE_deg90,0.05972539268959733
GLN_deg90,0.04835871003480926
LRHGLE_deg135,0.037553074503987066
SRHGLE_deg0,0.03398648934494762
HGL_deg45,0.03080535271788196
LRHGLE_deg45,0.026165860388684355
skew_l,0.022658568589298784
directionality_tamura,0.022454957327078147
HGL_deg0,0.02198907991590759
HGL_deg90,0.021402368905222045
mean_a,0.015623538960871399
LRHGLE_deg0,0.015046026234844311
SRHGLE_deg135,0.015040422995060967
SRHGLE_deg45,0.014953002409683856
SRE_deg90,0.012598061906460652
GLN_deg45,0.011763883845291229
GLN_deg135,0.009464523919742314
skew_a,0.008740938986861945
SRLGLE_deg0,0.008303802090569546
SRLGLE_deg45,0.007752525088774955
LRE_deg0,0.006626559364998079
GLN_deg0,0.006568606503432519
SRHGLE_deg90,0.006504819706861542
LRE_deg45,0.00631054374564861
std_b,0.005712195582316321
LRE_deg135,0.005065444793191515
LGLRE_deg135,0.0040701733321995195
LGLRE_deg45,0.003096520831381453
SRE_deg0,0.0030523214873819874
RP_deg135,0.0027178636953874634
LGLRE_deg90,0.0015670753386147398
mean_lbp,0.0014805573329428386
skewness_lbp,0.0013029519302784193
SRE_deg135,0.0010908141279254249
contrast_tamura,0.0010271133432687221
LGLRE_deg0,0.0009865555667539496
std_lbp,0.0007307260264993172
std_l,0.0005982653344506729
SRE_deg45,0.0005527168798522413
mean_l,0.0005199593166253843
RLN_deg90,0.00042765803616498103
RLN_deg135,0.00038418002862469075
RLN_deg45,0.0003773142254082769
RP_deg45,0.0003510526048938145
SRLGLE_deg135,0.00032357023625618846
RP_deg90,0.00031417655074391005
RLN_deg0,0.0003085855946951633
roughness_tamura,0.00019628860184536627
RP_deg0,0.00018889717130259428
kurtosis_lbp,0.00016221456488289514
coarseness_tamura,4.573034364413864e-17
LRLGLE_deg90,0.0
LRLGLE_deg45,0.0
LRLGLE_deg0,0.0
LRLGLE_deg135,0.0
median_lbp,0.0
