Metric,Value
Accuracy,0.5151515151515151
Precision,0.4444444444444444
Specificity,0.7222222222222222
Recall,0.26666666666666666
F1 Score,0.33333333333333337
ROC-AUC,0.5925925925925926
PR-AUC,0.5393892982313698
