Metric,Value
Accuracy,0.6060606060606061
Precision,0.5833333333333334
Specificity,0.7222222222222222
Recall,0.4666666666666667
F1 Score,0.5185185185185186
ROC-AUC,0.5814814814814815
PR-AUC,0.5264591464241566
