Metric,Value
Accuracy,0.5757575757575758
Precision,0.5714285714285714
Specificity,0.8333333333333334
Recall,0.26666666666666666
F1 Score,0.36363636363636365
ROC-AUC,0.5444444444444445
PR-AUC,0.5939332349559743
