Metric,Value
Accuracy,0.7575757575757576
Precision,0.7222222222222222
Specificity,0.7058823529411765
Recall,0.8125
F1 Score,0.7647058823529411
ROC-AUC,0.7573529411764706
PR-AUC,0.7365755772005771
