image_id,mean_r,mean_g,mean_b,std_r,std_g,std_b,skew_r,skew_g,skew_b,label,mean_lbp,median_lbp,std_lbp,kurtosis_lbp,skewness_lbp,SRE_deg0,LRE_deg0,GLN_deg0,RLN_deg0,RP_deg0,LGLRE_deg0,HGL_deg0,SRLGLE_deg0,SRHGLE_deg0,LRLGLE_deg0,LRHGLE_deg0,SRE_deg45,LRE_deg45,GLN_deg45,RLN_deg45,RP_deg45,LGLRE_deg45,HGL_deg45,SRLGLE_deg45,SRHGLE_deg45,LRLGLE_deg45,LRHGLE_deg45,SRE_deg90,LRE_deg90,GLN_deg90,RLN_deg90,RP_deg90,LGLRE_deg90,HGL_deg90,SRLGLE_deg90,SRHGLE_deg90,LRLGLE_deg90,LRHGLE_deg90,SRE_deg135,LRE_deg135,GLN_deg135,RLN_deg135,RP_deg135,LGLRE_deg135,HGL_deg135,SRLGLE_deg135,SRHGLE_deg135,LRLGLE_deg135,LRHGLE_deg135,coarseness_tamura,contrast_tamura,directionality_tamura,roughness_tamura
AEQ1,45.081092834472656,42.34590148925781,43.77011489868164,94.61988383620694,90.22815245549091,92.70757064427258,1.6781799070145915,1.6960176779233098,1.6851701810075794,abnormal,217.51943969726562,255.0,75.97661946031621,17.30665821236546,-1.4799510916240908,0.857760558933222,365.3322006430196,3359.882322189403,53456.70421099407,0.5837554931640625,0.15006199665429618,28333.855529706983,0.10924168562685593,25974.538288798954,1.0,106869.59244059911,0.8500755505761876,244.6803540446076,3751.391737282808,54553.700947974554,0.6068267822265625,0.15410388500790978,27854.68290628379,0.11505220415117405,25648.215953536168,1.0,86485.96796499786,0.8599661394657088,530.0152758506772,3294.138738024447,53162.9967756855,0.5773544311523438,0.14875627107461648,28311.09538156591,0.10777683068604672,25974.82490564748,1.0,177750.0754278163,0.8479170475917247,239.04513404471928,3759.588087427573,54254.75923482021,0.6070175170898438,0.15444179478271908,27943.53582695474,0.11440945251825253,25762.247463543128,1.0,86499.58412830085,6.8568267822265625,65.45626922915561,595.5159046463846,72.31309601138217
AER1,33.1001091003418,26.436058044433594,30.74013900756836,81.24030604911225,67.46993988401204,76.7624646980301,2.190357137496593,2.2623091091140504,2.207734086568443,abnormal,209.88322830200195,255.0,80.58908673422191,13.017183735152962,-1.6795117128001655,0.8212662999241409,151.12504000264846,5969.360476279809,57541.597027113516,0.6913681030273438,0.2032511212214557,16091.171818272107,0.13120604795998855,15161.361195767575,1.0,21914.66367980225,0.8183783277009832,90.29973428178538,7220.133014195763,60976.70156846121,0.7379074096679688,0.21354928191483818,15400.573941004353,0.14620403929920245,14678.199962790166,1.0,19294.610924430566,0.8264782198136461,214.37566939697012,6134.986453913859,59012.8046396981,0.6995162963867188,0.20594751152054772,16019.82723832168,0.13438243540231049,15162.442265259555,1.0,21334.452343298395,0.8194830518076159,94.82495044598612,7237.016187644533,61256.34217046581,0.739013671875,0.21410460459695999,15415.41153576148,0.1474724769037202,14715.264702679959,1.0,19196.4553600925,8.601715087890625,46.3350156490792,639.1165362245997,54.93673073696983
AES1,44.35824203491211,39.77941131591797,39.49577331542969,89.28930482739355,81.5706241987456,81.0868548584861,1.5894305590737883,1.60376223078864,1.6041699923343709,abnormal,209.0308609008789,255.0,82.25901291312528,12.57522720308222,-1.67650221432889,0.8644296104079952,208.54981977479824,4380.865814628544,66813.85942434263,0.7203507965686274,0.16229039746931354,22530.00197769248,0.11517138137568458,21357.531643770257,1.0,28364.43749534817,0.8593262652685837,118.25923105421315,4859.733215329519,68238.77777549089,0.7442708333333333,0.1674784107409679,22047.45551187585,0.1225879155934684,21037.765812966078,1.0,26705.887519038406,0.8621180500887018,276.91497335470734,4210.252198778216,65099.642303193104,0.7071384803921569,0.16036783997183726,22659.336293921406,0.11171287976478667,21306.00535728315,1.0,29798.493999393442,0.8567721409614111,117.5339661576558,4837.8976888155175,67572.65113495667,0.7423406862745098,0.16668126004499406,22034.59589352043,0.12044713334174877,20981.33106374247,1.0,26975.088031366075,8.433917999267578,60.94328848520517,515.4200814761562,69.37720648447275
AET1,75.27910995483398,62.26492691040039,71.5355110168457,112.9322040266026,95.23129140974274,108.17460289110083,0.8776404143558245,0.918017170144229,0.8884370860408718,abnormal,201.2836036682129,255.0,83.58653983958268,9.81293673080526,-1.927932287957308,0.8474458868455401,173.50863971776613,3215.6619011996786,73409.97540612676,0.8261032104492188,0.11761426328898382,29946.248016697606,0.07733377605877606,26744.169740567097,1.0,57243.26267327921,0.8556333388951438,76.36849488249658,3725.864156694318,80104.61152001108,0.8810882568359375,0.12227202374280859,29660.46032419514,0.08510212035447415,27175.7196077528,1.0,45687.22943906621,0.8502335322348016,140.70491698769615,3278.0191889110497,75005.853565021,0.8377304077148438,0.11755686365196166,29987.240612733713,0.07774154716626351,26915.53397940596,1.0,54040.79689079533,0.8542226184712669,76.34245673601608,3769.083548426213,79726.07412475965,0.8808441162109375,0.12356189015690666,29521.697134789614,0.08647004986225107,26945.495174232743,1.0,46241.417196459195,8.629650115966797,87.61464198960465,629.0857479818619,96.24429210557145
AEU1,52.86549758911133,50.792449951171875,52.20193099975586,96.26488814858665,93.5058414779875,95.84892234181555,1.3245557874842278,1.335996454658305,1.3347719495330548,abnormal,205.48640823364258,255.0,83.8523893752334,11.072320914997952,-1.771455487503916,0.8737214579451119,223.49426752861254,4030.902124650125,72937.0105983485,0.7659378051757812,0.14566610729018592,27550.172442301755,0.10774831730600036,25785.216628938168,1.0,37176.6116063869,0.87131690510105,121.87097454176129,4429.222867381452,75621.48551745283,0.7962570190429688,0.14881142285335977,27342.34751406096,0.11275901503354668,26114.074716592724,1.0,33218.14940546341,0.8780769159597803,236.78805510902475,4063.6845432400714,74580.5782798647,0.7736129760742188,0.14510140508666666,27634.459580469236,0.10789904242455632,26063.807222911626,1.0,35548.28464777759,0.8689017105667742,117.65987021464501,4436.897170064893,74988.348769343,0.794769287109375,0.14913151759767604,27294.711870752217,0.11257436250668662,25992.049596573426,1.0,33482.18764159275,7.948905944824219,73.11169990665476,615.6063862660944,81.06060585147898
AEX1,66.68315124511719,62.950782775878906,61.80268096923828,109.21188724189037,104.57030762994388,102.75948962782796,1.072824017442472,1.0879271824231038,1.097048173834152,abnormal,204.76043701171875,255.0,83.44526549232968,10.751817375790115,-1.8061982075987026,0.8454739781298505,152.84300545004453,4230.599514681852,69099.09696578312,0.7797317504882812,0.1474594383234923,30446.228657253843,0.10479090588358718,27272.669493649584,1.0,111805.45723623056,0.8421113634246326,112.06860143360375,4625.628349089124,71014.15770585624,0.8078536987304688,0.15032748827467973,30261.311756872892,0.10969958171650925,27331.161143947756,1.0,95374.50809825568,0.8452376676125054,261.80437760662426,3914.1503749479944,66513.67419606888,0.7518539428710938,0.1447299681264659,30579.552335433855,0.10107224154781926,27162.018980099267,1.0,179399.38101616487,0.842932368678247,88.850778081675,4619.133980948788,71273.22159766105,0.8089447021484375,0.15033951610452118,30301.35458832406,0.10964794207455739,27421.92294295764,1.0,92508.41789116288,8.499679565429688,86.91697090525673,529.083297197146,95.41665047068642
