image_id,mean_y,mean_u,mean_v,std_y,std_u,std_v,skew_y,skew_u,skew_v,label,mean_lbp,median_lbp,std_lbp,kurtosis_lbp,skewness_lbp,SRE_deg0,LRE_deg0,GLN_deg0,RLN_deg0,RP_deg0,LGLRE_deg0,HGL_deg0,SRLGLE_deg0,SRHGLE_deg0,LRLGLE_deg0,LRHGLE_deg0,SRE_deg45,LRE_deg45,GLN_deg45,RLN_deg45,RP_deg45,LGLRE_deg45,HGL_deg45,SRLGLE_deg45,SRHGLE_deg45,LRLGLE_deg45,LRHGLE_deg45,SRE_deg90,LRE_deg90,GLN_deg90,RLN_deg90,RP_deg90,LGLRE_deg90,HGL_deg90,SRLGLE_deg90,SRHGLE_deg90,LRLGLE_deg90,LRHGLE_deg90,SRE_deg135,LRE_deg135,GLN_deg135,RLN_deg135,RP_deg135,LGLRE_deg135,HGL_deg135,SRLGLE_deg135,SRHGLE_deg135,LRLGLE_deg135,LRHGLE_deg135,coarseness_tamura,contrast_tamura,directionality_tamura,roughness_tamura
ABI1,63.98863071441651,-1.1149951782226544,17.422582550048826,102.22223637369945,2.2460052832882726,27.042645955803263,1.0121257318604564,-2.1235756884212225,1.025959127517825,abnormal,195.59988021850586,255.0,87.12424824057818,8.126160115917578,-2.0453589321357892,0.8541051439701011,113.23728531763845,4803.110412821919,82992.02322642859,0.9177703857421875,0.1486036625400259,28034.871764177766,0.10068638760047781,25845.8224281151,1.0,41745.27199195305,0.8549323717818393,59.541609627200664,5452.539269682596,86945.29005762312,0.958587646484375,0.1546446262392709,27489.52307312725,0.10962387013570343,25639.180389408462,1.0,37314.049576581456,0.8512953249969472,106.61545289354468,4760.432277405146,81784.8910409392,0.9111099243164062,0.14801387293750107,27996.798402291053,0.09977379852131013,25643.75526335558,1.0,42613.9840815267,0.8577867890779406,65.80848179245059,5473.389426698063,87910.40414971973,0.9622879028320312,0.15500189912328793,27545.297695216803,0.11021927558619876,25788.52566670229,1.0,36685.34394944858,8.569992065429688,85.49138080996568,482.113628348308,94.06137287539536
ABJ1,48.35419355010986,0.43303000640869266,12.022960624694823,90.60699942159252,1.4534373955906026,21.889171939240914,1.38369407791363,2.7715901904920344,1.4179046306726173,abnormal,206.79969024658203,255.0,82.63424547174328,11.696762341193738,-1.7498910825016256,0.8451935722856773,145.37281896937407,4886.555740838655,66400.54449505836,0.7532781862745098,0.16523537465230528,23051.57013869118,0.11609970001537828,20882.958534860903,1.0,57762.9519461504,0.841289653961166,100.52306671739491,5413.331548089399,68533.66358395036,0.7851332720588236,0.16836367286641526,22825.922424810014,0.12123546651387293,20855.443408757495,1.0,47338.02633966461,0.8418215685897479,330.94288737215527,4684.732900441882,64480.8450303923,0.7384037990196078,0.16393149845919205,23213.463166192974,0.11420945559389563,20842.950539381505,1.0,59973.45995062548,0.8395357343934634,97.59544393322197,5411.475925328957,68128.86632672,0.7840762867647059,0.16854643107738235,22818.43611835614,0.12143554968862423,20817.949939572252,1.0,46969.29222713908,7.561603546142578,69.24947914063941,462.8149259954138,76.81108268678199
ABK1,42.653292121887205,-1.6276751861572252,13.924917678833008,85.01460907391035,3.345484661394239,26.89462545251631,1.5479141051218757,-1.9734564741386007,1.569501191976329,abnormal,208.75839614868164,255.0,81.21614183877155,12.461902417427025,-1.7080940858942604,0.8352715796750423,148.66323053513642,4358.964017059215,61398.05921433317,0.7119903564453125,0.1606910920068697,22201.248655193845,0.10631273140244164,20299.13477516465,1.0,34229.73788602902,0.8360614901538433,115.46906827227268,5007.261965506685,64654.62426778243,0.7476043701171875,0.1676125632709158,21688.05409735687,0.11724006666206045,20057.717055576977,1.0,30259.808051842025,0.8336466880013819,325.4718015637165,4146.202065948044,59665.09371333326,0.6957473754882812,0.1599995190066567,22387.24813308039,0.1052720828185218,20282.58343062333,1.0,36206.704319410484,0.8369738629759225,107.52219188131726,5016.491441147701,64922.29312031301,0.748779296875,0.1672554701769524,21672.28295158135,0.1170428968189623,20045.680002121833,1.0,30130.012583550702,8.64126968383789,62.470810359442176,263.02351890443583,71.11208004328006
ABL1,50.87058195495605,-0.5214418334960922,15.69120620727539,88.66492689255546,1.5471973922238522,26.74511312235439,1.2096045264123674,-2.704405196490064,1.224194240187495,abnormal,208.0891456604004,255.0,81.469809522102,12.283424902398076,-1.727419811637333,0.8575791501193164,235.32041484134345,3074.655378974408,65300.99104658971,0.7157821655273438,0.12091284412871385,25347.3206386766,0.08549638928354289,23014.781037041874,1.0,39409.57892324583,0.8706455308709771,137.19469388161895,3508.38379660544,72457.4576776264,0.7655105590820312,0.12392762135062517,25062.683406918684,0.09078770139044194,23543.692645008225,1.0,32401.799884389606,0.8728036628491282,252.14704696529552,3157.286485201228,70056.10752499198,0.7379989624023438,0.1197699461677324,25489.4323949923,0.08533052248277627,23626.7503626126,1.0,35035.127839058834,0.8664068692502116,129.08189116503203,3530.086070203853,71404.84607540266,0.7631149291992188,0.12480780507726819,24964.95991921858,0.09120896816386234,23323.683294500126,1.0,32923.51898063446,7.407890319824219,70.55851116440004,623.023795214246,77.96640148422426
ABM1,61.64520532608033,-0.16229035568237118,13.962284145355225,104.61313444571843,1.1226564824425393,22.840631780645424,1.1568578578497777,-0.9663305145568523,1.1595258099733403,abnormal,189.77375030517578,255.0,91.27034328183814,6.772195272078509,-2.143946675868488,0.8513891246453545,42.924718764061794,7992.128783560822,91505.35792710364,1.017303466796875,0.18870000315453517,24443.029923503826,0.1379916907422121,22436.790791410804,1.0,51957.438975551224,0.841638783915539,28.3001419265621,8627.706998071255,91945.8929728156,1.0482406616210938,0.1924216939594221,24269.65628297973,0.1431579947124923,22359.302416283997,1.0,43978.03658793988,0.8474916227427868,64.60392591054828,7550.454555240314,88342.60908510753,0.9922714233398438,0.1853112832591412,24628.57393183094,0.1337460147071604,22356.197571105757,1.0,56240.401041065976,0.840079122255201,27.99827999621016,8579.724413121588,91436.75194047038,1.0468215942382812,0.19230044839629407,24329.50124991801,0.1428712263262514,22387.0244929301,1.0,42751.965738399085,8.05111312866211,84.47714109235525,538.3396595984627,92.52825422101736
ABN1,61.547879440307604,-2.1150236663818345,19.523200149536134,94.45670638493795,3.4151438575521786,28.653754734760284,0.9363608635785955,-1.5876954605090576,0.9357520193932868,abnormal,185.7891082763672,248.0,91.5165607716411,6.142018789815733,-2.0393322650814873,0.8744304562433041,57.60036858519989,5997.434505245251,102528.8071874114,1.084830216535433,0.14999635583728027,21670.285944145166,0.10550758462396023,20371.968972400868,1.0,28182.14162177488,0.8754125367748685,38.611758569094974,6558.376147922415,106228.50268363327,1.1203401820866141,0.1547727307353398,21272.43762440116,0.11218441080461396,20166.388162715317,1.0,26405.891762412663,0.871283193393646,112.42126317298731,5916.428890959925,100508.48221377877,1.0726039616141732,0.15053812499117175,21672.999641551367,0.10532010639031922,20245.347069154042,1.0,29309.540554878487,0.8717267388269552,39.731806636850536,6507.339710673072,104593.63620175584,1.1141117125984252,0.1544073118073822,21277.711970625587,0.11072822446173193,20097.02775035677,1.0,26853.07534095301,7.825981140136719,80.51685429001525,531.2317931062527,88.34283543015196
ABO1,68.60901375198365,0.4625094261169455,16.629334125518795,106.77860805995273,1.2287594594887568,25.518592361149647,0.9371207118522766,1.449955935201869,0.9428358993414879,abnormal,207.7113380432129,255.0,80.69279408624332,12.066386123826499,-1.758099808995794,0.8336224919595038,201.2957048748353,3024.751841897233,62030.64835836627,0.7238388061523438,0.11562191292985306,35052.48911725955,0.08046350627958654,30359.744050299054,1.0,80789.32561791831,0.8397088132591385,95.17139660857278,3433.8120780342283,67814.73416156383,0.7774658203125,0.11807162499138929,35084.25777202073,0.08477065674142166,31427.856936202606,1.0,60617.343342753964,0.8379097686033666,207.51732015284932,3058.021681342416,63719.37558149194,0.7347412109375,0.1142697802026582,35215.779178434954,0.08000418579139575,30735.706154039803,1.0,75321.54178434955,0.8382308701584943,106.10145811605895,3428.366221295185,67368.3670674354,0.7754364013671875,0.11798549702267107,35000.03447529468,0.08459100310419772,31216.2390665018,1.0,60984.184497924005,8.882625579833984,91.03847885927846,584.3726294072525,99.92110443911244
ABP1,31.54087783813476,0.6842826461792002,9.131252479553222,77.58634090659332,2.1407916646951364,21.748323873537966,2.1303890968439836,3.3325734987476623,2.184478793168728,abnormal,214.5385856628418,255.0,77.5810497570785,15.442753951927902,-1.5646120204811935,0.8242857840550836,255.33590485374478,4880.721138392305,51751.43483421111,0.6171112060546875,0.19432107124748935,20142.346166209234,0.12891204243788748,18631.936859904043,1.0,30215.94782780704,0.8198069001217705,125.8930152143845,5945.978423236515,54938.35539419087,0.66192626953125,0.20392443193618032,19366.082941447672,0.1428461741099889,18218.374014386936,1.0,25857.329460580913,0.828719065043604,225.86947184508426,5084.303607177956,53377.667127725406,0.6288070678710938,0.1965957810218673,20003.551717443792,0.13206490186881178,18618.6195780788,1.0,28684.076438685253,0.8194914313689389,124.2293068621227,5898.825705546257,54820.703214636116,0.6609725952148438,0.20285643460572564,19444.82262365095,0.14179230178680047,18305.343431054887,1.0,25610.90767011023,8.501907348632812,50.45836201769726,660.3115317506475,58.960269366330074
ABQ1,40.992228061676016,-0.21271397781371934,11.890783786773683,86.61497706761872,1.6803484142088172,24.582324287311398,1.6840639988332702,0.8564983653763809,1.7243774201579987,abnormal,217.16383361816406,255.0,75.52190060495381,17.029427069889703,-1.5029878516863264,0.8504149354255226,448.7045811107625,2993.643839556532,52334.23765819475,0.58355712890625,0.14092212703480148,27310.308597427047,0.09691126369780541,24942.84113676119,1.0,43632.86795314297,0.8501237212672793,229.97515051862476,3462.189931633019,55391.645468369454,0.6171188354492188,0.14659154503811528,26764.441010298317,0.10560001022085068,24842.008551735293,1.0,37100.558705354386,0.855016016632766,390.90224006215203,3006.112236177651,53504.28688333549,0.5892181396484375,0.14029411824340604,27417.804169364237,0.09738812849779581,25164.68464122218,1.0,41297.65989900298,0.8487657962150106,305.6426613073306,3449.0977334474674,54973.58704579007,0.6149826049804688,0.14651237503394055,26711.557184859877,0.10548767879172646,24698.402080957243,1.0,37751.74456312727,8.10763931274414,61.780162923185614,602.0410032959052,69.88780223592975
ABR1,41.94523192214966,-1.804356258392333,12.19336042404175,86.80341162034291,4.028504132127799,24.836609221952855,1.6250996231792347,-2.1617099876297936,1.6511291767593566,abnormal,218.65156173706055,255.0,73.7093996774984,17.823843470921584,-1.479394965444375,0.8260566123046768,369.75273814376953,2856.970729718712,47229.776083707024,0.5614471435546875,0.14646666699045338,28097.42426960185,0.09340981629998472,25266.0866076849,1.0,47652.61112922952,0.8335001924872726,219.4463182416692,3454.0739896687937,51772.56072115871,0.60260009765625,0.15432955014528768,27487.833421958876,0.10505886086982731,25329.946446439655,1.0,38991.72633697964,0.8166136790241387,460.53348857839876,2854.7423763583943,45125.51951652251,0.5504150390625,0.14833114469735054,27785.09232923043,0.0943073295034741,24514.913501503896,1.0,51704.21433521845,0.8249510570931062,221.8966736528101,3436.7894127782133,49812.40889511784,0.5933609008789062,0.15538564520554132,27242.62501125069,0.10542273184971877,24742.937717908204,1.0,41903.44604168542,8.81363296508789,62.70233531293999,511.7768086027233,71.51596827802788
