Metric,Value
Accuracy,0.8484848484848485
Precision,0.8235294117647058
Specificity,0.8235294117647058
Recall,0.875
F1 Score,0.8484848484848485
ROC-AUC,0.8492647058823529
PR-AUC,0.8044212504801374
