std_g,mean_lbp,median_lbp,LRE_deg0,LGLRE_deg0,HGL_deg0,SRLGLE_deg0,LRHGLE_deg0,LGLRE_deg45,SRE_deg90,HGL_deg90,SRLGLE_deg90,SRHGLE_deg90,LRHGLE_deg90,LRE_deg135,label
96.61348218723302,190.52465306122448,248.0,36.93983827131497,0.2034573894006522,24617.1331577358,0.1215830886927255,48219.49729892964,0.2138783189558591,0.7924134531645382,24435.786997745658,0.1224630664174873,22108.773889401447,49051.39222251691,19.747955852634853,1
69.74033940583801,223.7220081632653,255.0,394.3135938135938,0.2027501423519889,22695.703601953603,0.125788401945394,32316.57102157102,0.2117604277525107,0.7929448373567929,22397.00957201391,0.1232312913735594,20650.66425128879,36864.05350686912,236.70963416969929,1
105.072024520483,213.7456163265306,255.0,248.0011809406449,0.1719182221167117,33179.78008831382,0.106908847346229,349692.571241528,0.1833149672674335,0.7772118510917959,32638.611821978662,0.1065782729477241,28046.572630277627,470077.511611822,117.35909101851183,1
92.05839875115365,219.02447346938771,255.0,188.1723146928512,0.1499812327507107,29819.976380074244,0.0879813741975262,141114.9220153275,0.155754294976112,0.7239560992231294,29293.90309873135,0.0915931242647962,22473.441679598105,172812.627593908,132.8446803351564,0
91.70861880453586,219.70783673469387,255.0,346.9782336894749,0.1147426118637084,33444.28719595363,0.0696794175402152,101145.18742896112,0.1175263357487635,0.7785361240378824,33600.37219129776,0.0671668799855101,27644.55086652925,114983.31984961969,243.98569444808345,1
83.89086648443046,205.1866448979592,255.0,213.0318058614264,0.1728185695107403,23544.29309249534,0.11444004322344,29680.94858546502,0.1818163998108302,0.8428917350499759,23351.022436916035,0.1161586454208494,21938.245871963198,30375.231890506155,95.05296076679392,1
101.55996571830084,198.00606530612245,255.0,115.48803090237152,0.1565648357071237,31078.19438408825,0.0984953615709673,46976.90508292012,0.167627454557747,0.8222851774453124,30934.66483795209,0.0983812579062568,28091.930261410605,50289.2009769845,53.30250836416421,0
80.97750379962568,209.74179591836736,255.0,244.51515437190668,0.1636241643355682,24081.55335847278,0.1056921045408603,34337.39691256187,0.1713850769354192,0.83141421006785,24164.805432134155,0.1039182945394733,22072.793411254235,35792.112870861405,132.40227195274338,0
102.55693029332345,179.57417959183672,231.0,40.20616998950682,0.152639313828658,27932.065911157748,0.1007478299617133,37114.19115774747,0.1624755259847727,0.8491526820011165,28008.994781059064,0.0996158242593182,26006.61621303112,38015.42980595157,25.8009225017818,1
58.300554045818586,230.7038693877551,255.0,637.9637310271796,0.2623337053736267,18922.76857571479,0.1573003049820093,25370.02360571832,0.2760554447912344,0.7449347976743554,19120.19504906333,0.1525692550364952,17908.89452259477,25546.066681534343,299.43909001956945,0
36.72844308898089,231.7542693877551,255.0,564.4042103327818,0.3388472988722954,8045.59693877551,0.1955281062643864,9279.541275969848,0.3482799899673587,0.695686068035085,8288.521931475903,0.1920454974486471,8037.954412204258,9378.148531626506,357.38388388388387,0
90.76074596343952,205.1788081632653,255.0,149.86566161977169,0.1889058900524615,25500.923451816238,0.1151263311029522,52579.89239066866,0.1988512865129668,0.7996132431940549,25153.112796248573,0.1191299026585211,22543.637774087285,49350.183219973806,72.10851508813863,1
107.99318606306716,212.0295673469388,255.0,383.56163062239824,0.1250169732380789,38968.35460452838,0.077708964967303,221442.26330084272,0.1293502544608772,0.780684150319959,38948.15925033467,0.0738614223597622,32246.0955633074,219264.6412583668,182.8472688873956,1
73.31121124655208,221.995812244898,255.0,429.9131819215648,0.2561291445148999,22000.115898235694,0.1612417796875081,31691.66578938818,0.2683040066025838,0.7740335221409954,22063.29162734698,0.1575245129164751,20607.970629444128,32039.861898408773,206.49546130726492,0
91.86063053274393,223.3786612244898,255.0,579.2561005326,0.1172448902526333,37650.725136631045,0.0757316491434133,74658.18143210221,0.1245172681672597,0.7941004216924695,37570.443146784666,0.0732200619243972,31882.854334194657,84531.74487686338,404.07912983470806,0
85.7848187421052,193.7906857142857,254.0,122.03514342800057,0.1217031255519188,24809.954028114746,0.0765741502934898,47792.55580134152,0.1254501699366972,0.8305849997963186,24848.52429945923,0.0764421613275745,21712.50534705877,44870.09189549828,70.80653304134138,0
83.88063621381966,212.61842448979596,255.0,216.7458059354452,0.1773511987640367,25565.713303497763,0.1103300676189216,36459.845713428505,0.1871424011159916,0.809050745066393,25809.030824576843,0.1065879712145439,23324.06984601022,40194.41169315182,139.0400557799577,0
68.94100241306003,219.3865714285714,255.0,353.9204701390132,0.2638680853377701,18896.1206968558,0.1604186098116281,24085.9902452121,0.2758354635662141,0.7532056800887461,18855.116124771084,0.1555213250435939,17670.904054474344,24836.988711759583,127.50633888215192,0
73.1941343142388,213.2797469387755,255.0,180.11771937913016,0.1928756124471909,20898.11569591722,0.115188989517139,35541.23049536397,0.2017750974811194,0.7758144517671509,20923.73909814324,0.1108118218155802,18361.52770845033,39978.2502122016,126.29191774270684,1
82.87106964718873,219.07167346938772,255.0,323.98384425395903,0.2116908627563337,24507.122446607584,0.143075079234353,45203.03251489176,0.2217207449697476,0.7758680726151396,24017.35548222143,0.1417502500295873,21271.51977270881,54524.239683672255,143.40396067026728,1
87.68523768829702,202.44710204081636,255.0,118.07041937654182,0.1607748890582391,25540.75979122918,0.0983248823391969,38488.89895818467,0.1710380255364658,0.812926573684446,25622.329382614083,0.0969532787574565,23090.89421558598,39552.43888085897,74.86934915345648,0
