mean_a,std_l,skew_b,std_lbp,contrast_tamura,label
1.1902435687734667,36.14235306536083,2.621220935707009,68.94211069937145,66.444129676876,0
0.5671567345894822,26.39976444298473,3.854903518500388,55.83417743564548,38.196586970994005,0
0.2208710979081584,20.453654286866094,6.996191743152472,52.108692681622415,25.01700555501507,1
0.2328464219688301,20.136089830706798,4.913640564629065,52.39873841572639,24.394778851574834,0
3.796130333890526,33.721652463119646,-2.6482264318993,75.36502775028728,61.343704387162674,1
1.319145383613776,28.75762628911821,3.104706069329904,70.00748198760182,45.20906045688213,0
2.857156350309082,37.40980206462872,-2.202168244014869,85.03243475333838,73.04887685142836,1
3.1366166453164523,36.24492285112116,-2.3205158374244617,77.6001465585796,70.39459002412204,1
1.066786756629306,25.481473711324725,4.111962826544377,57.90071689241065,36.88746959326728,1
1.033460299581116,42.10011097141852,0.1157171006700525,87.74467960304548,87.70166603246238,1
0.4020429627322433,16.003537180528447,6.986162963769286,61.11334818036027,17.556279954922676,0
1.0882367856490058,35.447668005348284,-2.5241986444666638,71.45867381425576,63.03426948649478,0
0.8752290863029217,29.671697345592037,-0.4324087707916104,67.72120067471272,46.68147395037864,0
0.2531987073715224,23.458509426748567,6.442131583567659,55.05444968718981,30.99290762978157,0
2.7764678101362743,30.686553951796483,2.466802612057992,77.41806896353687,52.59348453376878,0
4.805357681960601,36.036756497811375,-2.3181106136133485,85.59639066468469,71.52599119056528,1
0.7840357772365139,24.729020112647103,4.72549027004362,67.19868509640204,34.75738557439235,0
0.5601138386987214,27.46394861419973,-3.805287701850516,58.72260245567001,40.29598942699552,0
6.221261520181351,36.83660538939509,2.026943670969094,81.12190766194576,78.12424384366055,0
0.3163753312237393,14.925751754905622,8.077804129582702,57.78765587133666,15.718586715227808,0
2.3904111101024617,36.624768452514914,1.9917001706788109,76.08017088846513,70.18219602505307,1
5.018867124691084,37.24859478879748,-1.6509525360461392,80.17173016279972,75.22981336737676,0
0.4107091914413917,19.80101407280299,-6.128541484034684,51.40024314331706,23.986543572792755,0
8.005320941337507,36.06677223180286,1.4206438688346694,79.61881294730782,79.4039486801622,0
1.5267005434780527,41.95981810566727,0.5242651296565972,75.89483512619323,87.93325035925793,1
1.069082573440021,42.11910119883033,2.9299071656330145,80.97691424264626,88.52618263505026,1
1.19593614029347,33.03075405675139,3.023288667520376,73.87542188724943,56.6180809834081,1
3.0007640538153826,41.5058175295289,1.709072747254315,73.69507239096741,90.37360832768518,0
0.3059059102140158,15.78904258706723,-2.0104991707176154,56.327792873778336,17.071234023270048,0
1.9972611895348344,40.917319029323366,2.6858497062961124,85.75246660363592,85.45456791490784,1
0.1391710756670848,17.0302205814537,8.671246755506482,47.34949551169096,18.79088387536893,0
3.2843178285821937,31.74059628613793,2.6237428569368224,74.15921020069645,55.899451050162114,1
3.203778061576378,30.722774245499828,2.773007342828246,78.90538072400048,53.24916871601494,0
1.7376422063445855,26.353757135469053,-4.274817873018049,65.29775835200314,39.15500715519459,0
1.7281540082690336,29.51528813905136,-3.190866256596137,69.68190520494188,47.222324838853936,1
5.5335011164568,39.45842318964032,1.1233260479916,76.47488289030213,87.23200868362626,0
5.121122703909766,35.831230491201694,-1.729436323914581,72.74022451309753,70.06184463714936,1
2.5519547782481227,34.1157037504026,-2.271545468602944,58.41037128674403,60.90154490975953,0
1.7629599360363506,44.87982276822031,1.203532444790841,71.44563265588319,103.90964055088332,0
2.7687530626761303,31.547129187863824,2.985668310132073,69.34711561083218,54.70759673446845,0
4.053200947941748,26.674651452349305,-2.345056529592377,70.46102179505725,45.08409567802848,0
6.086572888304168,42.50220838275809,-1.0523852225176409,71.32268988499979,97.39868851424816,1
0.4073706370410805,19.67962223025759,6.57490740999057,60.48881174296045,23.882536761850368,0
3.076087541770128,38.51140666556143,-2.4252052836685065,74.44690191086937,77.27967131488334,1
3.816710926495324,31.26872704958363,1.4744670818847223,86.81184198095788,55.80570382822678,0
