mean_r,mean_g,mean_b,std_r,std_g,std_b,skew_r,skew_g,skew_b,label
47.47073008,43.05801026,41.18571922,97.86591571,89.64113051,85.73075733,1.60379667,1.622170622,1.630544899,0
22.59013807,20.56195987,19.90928811,71.07519929,65.52824275,63.42862121,2.881639852,2.910890855,2.916096748,0
12.50668183,11.75401253,11.67699453,53.59911854,51.25695061,50.92413399,4.165560077,4.19508892,4.193470923,1
12.1359715,11.34631547,11.27937793,52.94070847,50.41285335,50.20822871,4.257303385,4.289164288,4.281768627,0
45.73353904,37.62326016,43.98500083,95.21314154,79.97002201,92.32667246,1.658435826,1.705794531,1.668240863,1
30.02953432,25.75330113,24.96000081,80.0758794,70.02878991,67.84872142,2.366515847,2.400388306,2.405755191,0
55.7289495,48.60862739,51.61438397,102.3189016,91.06508751,96.62377007,1.35043554,1.372045913,1.362278125,1
52.91481443,46.53139639,52.50968965,98.09046253,87.73021977,97.60156129,1.358175434,1.392851792,1.359635998,1
22.80656658,19.50256869,19.16492804,71.22712948,61.88880161,60.81865473,2.869466073,2.908242812,2.909484549,1
66.04632796,63.07738968,63.70003775,109.2832834,105.8673623,106.793351,1.094405241,1.103724279,1.101501939,1
8.794679581,7.480113845,7.489281124,43.86132359,39.00202919,39.23539251,5.16142077,5.238762888,5.225660639,0
42.7892123,39.99427166,41.1881003,93.02548112,88.5655914,90.69132688,1.76697295,1.787234304,1.776548199,0
29.25076758,26.90983137,27.56481467,78.91582303,73.54316577,75.19712391,2.384834746,2.408055039,2.400233887,0
16.50213837,15.5943263,15.40202521,61.40706821,58.93028572,58.18706201,3.536086254,3.564419365,3.567689572,0
39.77862305,31.46341647,30.85480637,89.26513192,72.62801244,71.15772653,1.888175853,1.935394515,1.937399592,0
58.95178651,47.02157646,51.60874213,103.3899061,84.9596796,93.05754949,1.260644825,1.301045838,1.279306281,1
21.11584147,18.3434944,17.47348279,68.08434292,60.65643018,57.74327066,3.03261336,3.089593212,3.132396325,0
23.40401026,21.90024255,22.35400213,72.38509504,68.59804767,70.02149365,2.824515604,2.843548576,2.834226558,0
69.75259717,53.00663292,55.02544663,110.314511,85.17332088,88.5919297,0.992093172,1.009478054,1.008565516,0
7.561683736,6.486650479,6.432609523,40.70746111,36.52613142,36.11218606,5.601169107,5.688770747,5.69052995,0
53.62858151,46.23938529,45.43356899,101.8645813,89.23028212,87.71642568,1.415523365,1.441036974,1.44438886,1
60.71205275,49.66820099,57.35643057,105.8305701,88.13883396,100.642102,1.214591436,1.245821935,1.220786705,0
11.94443035,11.00059566,11.7105089,52.37570677,49.1064067,51.57827789,4.271991778,4.304588517,4.279662104,0
77.34927693,54.83907345,53.78839696,113.0180768,81.10810688,79.50948058,0.810939846,0.82682215,0.831697302,0
66.97480455,62.88469705,63.91496979,110.6281187,104.8912956,106.4464281,1.071252057,1.085458717,1.08620949,1
67.88143019,64.03631944,62.88625115,110.7046422,105.6774611,103.7478512,1.049080809,1.0635891,1.07326835,1
38.86635625,34.83201592,33.95315991,89.53836704,81.56800634,79.53077071,1.925695116,1.950432783,1.950835065,1
74.40193628,65.43799019,64.99855562,114.630976,101.6184476,100.9553166,0.908874248,0.925357992,0.923935168,0
8.127025463,7.207480244,7.43300008,41.92688652,38.92006888,40.03293166,5.329275261,5.381028,5.365544722,0
66.92326907,60.79959483,60.6547821,109.8683003,101.3655121,101.0661292,1.076420969,1.090412172,1.089681896,1
8.6286681,8.062389325,7.854820932,44.78936793,42.69690643,41.45290115,5.156621509,5.18992427,5.20883036,0
42.27495173,33.4632669,34.93999107,92.80904115,74.64513595,78.03390747,1.796287336,1.825550046,1.815475353,1
40.68576278,31.70364505,32.48289581,90.14285379,71.98880475,73.79698698,1.852492537,1.886938521,1.875477288,0
24.66583319,20.82670921,23.64480678,73.19661975,63.29361362,70.88114785,2.717029712,2.790961365,2.729705562,0
31.21665039,26.90110972,28.70138017,81.4556538,71.57610977,76.15358929,2.29741873,2.331500387,2.311237095,1
78.62849853,62.45414036,61.23797875,115.9882457,93.22049891,91.36047657,0.822521503,0.848048362,0.847554346,0
55.64645776,44.70783768,52.93563518,103.0423964,84.02572955,98.56284218,1.347243066,1.389853453,1.355600647,1
42.92574691,37.27431319,41.00340831,94.38854166,82.65059383,90.5169156,1.763001123,1.791522708,1.77006961,0
86.8705353,80.7631301,78.98114381,119.9399604,111.9971226,109.5439929,0.66637113,0.673496504,0.6741057,0
40.63475695,32.97425504,33.66051198,90.60214808,75.08979433,76.6307058,1.834426799,1.899449117,1.882788845,0
34.7145721,25.59016388,30.71608428,79.53508323,59.88172276,71.19251475,1.923421626,1.987727859,1.942887006,0
83.35995116,71.28706785,82.83389848,118.4259109,101.9365711,117.7438295,0.730722314,0.745783176,0.731741069,1
12.56030196,11.15356666,10.93176787,53.11305742,48.63974086,47.48475876,4.185890299,4.253586596,4.265449952,0
60.00736097,52.2325046,54.80070522,106.2828367,93.70214568,98.29433912,1.235098039,1.265232309,1.255382613,1
44.23647194,34.0274033,36.28272447,91.33020761,72.81940247,77.97782657,1.701946885,1.743748614,1.724420355,0
35.63696508,29.76116534,28.75758496,81.86024322,69.99176444,67.52693692,1.950666001,1.98104529,1.988019593,1
41.55661548,36.37434466,41.1058787,91.92460391,81.75742281,91.13361741,1.807738939,1.839894745,1.81037169,1
20.68377929,18.8469793,18.85143643,67.6434114,62.93723572,63.0870458,3.070437704,3.103295498,3.096973411,0
35.73124542,32.19251171,33.05589414,87.01787326,79.3734333,81.51057603,2.069653611,2.085425703,2.081251124,0
