mean_y,mean_u,mean_v,std_y,std_u,std_v,skew_y,skew_u,skew_v,label
44.16397231,-1.464988706,11.13819563,91.596395,3.567788316,22.8291983,1.613059975,-2.559926319,1.640766489,0
21.09398057,-0.582707081,5.29445439,66.90396453,2.070589977,16.50701995,2.896930942,-3.81092876,2.93622889,0
11.9702806,-0.144222234,2.805992321,51.89560622,0.831674142,11.78665048,4.182131133,-6.609879601,4.212569069,1
11.57479174,-0.145264202,2.748207802,51.12089262,0.77090171,11.75738281,4.274683858,-5.37267179,4.310681573,0
40.77347198,1.581507935,13.14864761,85.79933376,4.017039049,27.25027163,1.674838771,2.695574134,1.744983439,1
26.94145862,-0.974485219,7.701213606,72.71237131,2.853688448,20.26408682,2.382849261,-3.019981319,2.416510196,0
51.08025995,0.263822518,14.40129924,94.98933152,1.60234927,26.07447325,1.359861289,1.600424709,1.392354634,1
49.12156381,1.66817341,13.8299107,91.82489244,3.901882891,25.60078848,1.369139792,2.368649103,1.467521357,1
20.45197303,-0.632899015,5.898708375,64.49389198,2.271143817,18.28828375,2.886680493,-3.931924645,2.938146906,1
64.0360841,-0.164959368,14.50363979,106.9619953,1.244885683,23.55733771,1.099351874,-1.32126648,1.113925878,1
7.87421407,-0.18924423,2.305397425,40.43538048,0.91488323,11.03251256,5.20467589,-6.003896724,5.199759321,0
40.96605538,0.109653013,9.837125687,90.09769704,1.203598945,20.93801287,1.777430453,1.321521513,1.796971341,0
27.68443939,-0.058544905,6.887140371,75.29762446,1.225680626,18.38706893,2.396104119,-1.687766296,2.430058592,0
15.84383978,-0.217291649,3.657939575,59.55601917,1.11185808,13.39035958,3.552050543,-6.055829111,3.591782674,0
33.88028169,-1.487689372,11.34567433,77.30771773,3.58212721,25.08081507,1.908815512,-2.370942738,1.939102345,0
51.11164615,0.246263355,17.20011104,91.24443741,1.640360002,29.80227373,1.275804854,1.909269991,1.323098544,1
19.07324485,-0.78686008,5.286691164,62.4523796,3.202687137,16.72147733,3.063276077,-4.449112819,3.106824729,0
22.40159769,-0.023214678,5.35024161,69.86594252,0.498672474,16.35751491,2.833801957,1.056683677,2.86918065,0
58.243821,-1.581453969,21.10197596,92.99023658,2.913409648,33.13951362,0.998351141,-1.854060487,1.013406977,0
6.801924754,-0.181591746,1.953071453,37.68239388,1.167277251,10.04382568,5.650918166,-7.173464666,5.64742839,0
48.3568919,-1.437547748,13.71165111,92.75374279,3.037096047,25.8071947,1.427729683,-1.92412113,1.452351729,1
53.84677084,1.728621888,17.49443199,94.74339231,3.345307387,30.29035629,1.225190873,1.696474523,1.26963242,0
11.36373234,0.170778474,2.851568793,50.33774967,0.903154758,12.25276616,4.286329847,6.232740125,4.352383563,0
61.44984717,-3.767094861,24.70652218,90.37391783,6.015998075,35.91894296,0.816346826,-1.334543694,0.825071895,0
64.22509029,-0.152046886,15.1953828,106.7263721,2.489618916,24.9298518,1.078117148,-1.432106295,1.109133678,1
65.05489977,-1.066661056,15.05700017,106.9005423,3.05144518,24.26884541,1.057242187,-2.942486036,1.07750578,1
35.93809409,-0.976229248,9.359636883,83.65592704,2.557165925,21.30713542,1.937852357,-2.87598449,1.973426946,1
68.06811453,-1.509293547,18.55648142,105.3731152,2.644192676,28.53858031,0.916453428,-1.554489664,0.938648763,0
7.508133526,-0.036846499,2.029568342,39.92288843,0.414616822,9.873925801,5.362589669,-2.055924945,5.270647913,0
62.61406478,-0.963318464,15.91149735,103.8205223,2.06817509,25.73606717,1.083393643,-2.390037896,1.103458531,1
8.208043882,-0.173742799,1.939982473,43.15773691,1.231731817,9.795633335,5.176580752,-8.062361418,5.193932575,0
36.26630722,-0.651465931,12.25951196,80.38015025,1.821938767,26.77104571,1.807876488,-2.808176383,1.83483548,1
34.47813284,-0.980617973,11.94265649,77.51747279,2.242172893,26.16735589,1.865666147,-2.438114241,1.903476814,0
22.29587041,0.664339316,6.808212843,66.99826955,2.620586227,20.13028318,2.744128506,4.308507116,2.870925369,0
28.39668721,0.150533439,8.214306505,74.98429695,1.093978592,21.20495229,2.311814735,2.433564465,2.361101448,1
67.15163103,-2.907877115,22.31644218,99.71378898,4.493011496,32.84421604,0.833049526,-1.082849492,0.852988307,0
48.916454,1.979342559,16.49159864,91.23756463,4.034868332,30.55887332,1.361368009,1.739672342,1.413424834,1
39.38920871,0.795124717,11.30340389,86.99047454,1.982877199,24.8958312,1.774062753,2.296973529,1.821309475,0
82.38609782,-1.674734588,19.73048158,114.0625237,2.52094426,27.18485221,0.66990574,-1.169716993,0.683742781,0
35.3429784,-0.826885756,11.37468538,79.7571628,2.101825137,25.32774628,1.861634894,-2.720890384,1.918995773,0
28.90271686,0.893613287,11.24213587,66.92778512,2.350520901,25.66467596,1.946012579,2.39950604,1.980040977,0
76.21319865,3.259704308,22.83691987,108.6038307,4.927518264,32.4392543,0.735641218,1.069701976,0.764144787,1
11.54889545,-0.303494364,3.073675663,49.78583575,1.659701211,12.62925362,4.222950021,-6.093204392,4.282560226,0
54.84996153,-0.023168417,15.48485765,97.89188397,1.457104396,27.40014732,1.248241923,0.927675134,1.292057455,1
37.33702143,-0.517413058,13.30958999,78.80186961,1.162746924,27.04040731,1.716977091,-2.350115629,1.763045041,0
31.4036213,-1.301303608,9.465491874,73.18408942,3.291558383,21.33899118,1.965822511,-2.53368662,1.98152628,1
38.46323851,1.301155033,10.93511889,85.76645422,3.447322221,24.08414617,1.818258684,2.887118212,1.908650282,1
19.39669061,-0.268066291,4.899473566,64.31707933,0.988381015,15.73569828,3.087348961,-4.741050437,3.132934503,0
33.34901868,-0.143759116,8.701161814,81.86526517,1.137662516,20.98117525,2.076979447,0.051556703,2.10206063,0
33.17750426,0.915939364,8.923654099,76.65156866,2.352028768,20.13384218,1.917038685,2.588750976,1.96144425,1
37.88036106,0.803357388,10.26279795,85.85603784,2.05067768,22.96888369,1.852731109,2.583481482,1.894173537,1
63.44636788,-0.818265144,18.19514319,101.5852445,1.883703914,28.71455884,1.008197087,-2.247592147,1.056694585,0
35.48956301,-0.923542017,10.82145331,80.81661519,2.442656029,24.25858418,1.876988808,-2.939573257,1.916973622,0
12.53639638,-0.146623164,3.234084868,52.4319975,0.721809187,13.13750632,4.029463034,-6.277787436,4.103711531,0
41.75040817,1.948524578,14.19715388,86.73586589,4.270009093,29.46247554,1.612177699,1.867347099,1.644835412,0
60.61127043,-1.054184294,17.48258228,100.2895897,2.577606739,28.50558841,1.074897916,-1.882556162,1.10419392,0
45.99599252,-0.378384267,14.48337876,89.54605393,1.978417626,27.64130669,1.46518074,-1.371493159,1.481345849,0
54.0645146,-1.062520686,14.19086147,98.33898088,2.250822841,25.52316575,1.29217496,-2.208071199,1.323542097,1
17.21443502,-0.309513503,4.661099319,60.41036147,1.596523797,15.99006769,3.285867966,-6.07108443,3.333326926,1
2.780848439,-0.074106009,0.853074698,24.04014219,0.729169943,6.735806728,9.032656208,-11.6672841,8.867732499,0
61.17194395,-2.212298108,19.51234796,97.5688706,4.061423506,30.4875489,1.003129786,-1.801019629,1.026163619,0
33.62649424,-0.962110377,10.45988942,78.60755884,2.500023466,24.11242828,1.94848675,-2.690933683,1.982568963,1
49.21769368,0.133073763,12.55615762,95.46789288,1.134485982,23.93508414,1.452258685,0.925838019,1.489867615,1
29.26325366,-0.447030075,7.434721483,76.46753596,1.363123551,18.11814153,2.305382502,-4.122502882,2.291315809,0
51.47770226,-0.078311234,18.305211,87.0197647,1.349326906,29.12377102,1.166175173,0.169742662,1.20739858,1
51.12259814,-3.88939809,20.82375507,85.63725671,6.753071765,34.22332001,1.119387338,-1.378808967,1.130557467,0
53.42394402,0.402051525,13.1197623,99.32292194,2.194358669,23.89605427,1.351004658,1.113599754,1.40147127,1
47.22738172,-0.008177451,13.17557903,92.18113101,1.304546944,24.94570829,1.484212965,1.669213728,1.517479627,1
62.75055296,-1.178917202,19.45509256,99.21548074,2.581797654,29.93082257,0.985611934,-2.216857326,1.009761139,0
49.04910059,0.406908017,12.25877629,91.62059897,1.508063507,22.384352,1.364613895,2.78347506,1.421377743,1
31.97077079,-1.771568981,13.14495726,72.58111448,4.322481726,29.32582909,1.879767357,-2.431869949,1.886247624,0
21.74754083,0.211797822,7.265817071,64.090969,1.496188409,20.82115852,2.708098202,3.949750081,2.786295638,0
62.8286822,-2.176704899,19.99395302,95.75433952,3.571149137,29.42045808,0.910687345,-1.69500971,0.927206485,1
26.37292739,-0.388979523,7.043526422,73.3751139,1.95006223,19.16251482,2.470740761,-4.558894061,2.51178649,1
28.09116444,0.767670821,7.622179563,73.55328165,2.332213559,19.70876448,2.274258697,3.122490128,2.324003977,0
67.80733572,2.121140632,21.64247268,102.6294926,3.795944797,32.52275541,0.881525955,1.506117654,0.930450464,1
20.10577911,-0.371319359,6.25160311,63.24828996,1.399728227,19.18279506,2.900433685,-4.230999997,2.955252081,1
53.83886191,-0.021282394,12.48540823,100.8365232,1.193611875,23.02915645,1.357089353,-0.642858942,1.377903886,1
26.51319169,-1.104926701,10.36232228,67.40427709,3.362851096,25.62523945,2.237071938,-3.260043112,2.26519421,0
10.59784008,0.25723365,2.855240553,48.38299128,1.421108189,12.68225774,4.442025878,6.949207234,4.547157978,1
61.76667616,0.591416555,14.59611311,101.9204259,3.468495684,23.89249218,1.069715086,1.527852202,1.144002616,1
