mean_u,mean_v,std_v,skew_u,HGL_deg0,LRHGLE_deg0,LRE_deg45,GLN_deg45,HGL_deg45,LRE_deg90,GLN_deg90,LRHGLE_deg135,label
-1.4621067428571417,10.46344212244898,21.645414899535133,-2.36523852180542,33931.40480838385,93835.64776190964,293.9006936602678,1638.9814808840135,33092.86301016293,537.9593103205106,1339.7123867282537,71591.48373918358,0
-0.6103175102040803,13.665202897959183,26.580456209561643,-2.185757053639445,16207.898295514698,20882.27603486608,29.97093951050713,5377.322185080042,15600.334833952058,52.66746268656716,4547.8876345545,19491.547069331624,0
-1.3308886367346913,20.14622375510204,28.36098713438425,-1.9026714682178207,30464.58193144342,45704.92977780739,46.89763007699483,3229.4556765900934,29871.472103207856,126.56422946379308,2856.3952749586183,40650.5017276906,1
0.8122998122448998,17.868274326530614,29.006388983312533,2.0137324024812826,25196.850747078613,31824.24555913317,56.56260619300253,2877.248829709768,24379.207375429105,110.47304076938404,2618.2362668212195,30314.379609167,1
0.3248471428571434,4.363989265306123,14.904717743195732,5.184060558303298,21624.35837785333,34910.16391452161,281.1282504864674,2592.932955952592,20443.72638422077,563.7850276725895,2052.4330517525973,28902.38679286622,1
-3.5440453387755078,27.42984628571428,33.80765324614345,-0.6955985116106385,35102.44466441858,101428.4608941586,117.20301555265344,1754.5188966718113,35209.669258775575,246.34855830569023,1582.2381134643192,73786.4275606469,0
1.066105248979593,11.304438979591836,24.04445120363173,3.136864292577714,22754.46483057248,47336.99758320327,107.92513987145698,3485.107689462246,21886.925925925927,164.638933624043,3009.952156785015,35960.2637936211,1
-0.6406496816326516,17.16346391836735,27.613746442603027,-2.473291014501392,26169.280312989045,39170.94770996348,108.92205599860294,2296.5433960067526,25586.052195510023,218.9088284918586,2047.071961457931,32899.98430952149,1
-0.1476414775510202,2.4679350612244897,11.386426538839794,-7.097047651956471,12569.628978362092,15220.196877567789,584.7426621845367,3342.5192413827704,11535.399879584567,791.3783921590845,2573.297093649085,13835.073582629677,0
-1.9798932326530587,27.020393510204084,33.2872499605781,-1.0641145204068796,32047.7027007956,67239.6588988657,89.12893563203089,2255.933402116754,31900.42641283365,96.23161595000532,2054.710790753826,54882.82520879779,1
-0.1923135428571425,2.697826326530612,11.427639379700892,-5.399284612637249,10114.172199089388,11714.085885511928,204.51468085106384,5375.513333333333,9288.385886524822,455.2044707956093,4248.02788238122,10620.241171863876,0
0.2985827591836755,16.88615330612245,25.797333186434717,1.2603048779266646,34142.595793905144,45363.41537557128,69.3212413465578,2434.664712221674,33210.16811880103,107.96739047619047,2204.2063619047617,41620.54318054019,1
-0.2323355102040811,3.5196945306122447,12.91396503128057,-6.140927923579599,20209.261047215496,28406.7689669088,635.1554092730395,2647.699484831139,19256.63785537111,1078.2396580835796,2097.527965386239,25594.432987738484,0
-1.462456130612244,12.857819918367346,28.177527859587972,-2.64209818065382,15578.264867164602,21502.684598657463,105.57975616797316,3631.265328329373,15066.84979236526,199.2973576125923,3051.097148690677,19306.384856222936,0
-3.681285591836733,21.50306208163265,30.75129414311055,-1.133723690958149,26291.42078584793,41517.55827521687,39.4230793956927,3326.5083895853422,25574.14509803921,65.88695135410477,2925.6005942779525,36781.08885806899,0
3.012732432653063,18.25440967346939,32.12932440833141,1.761403141544338,24643.20419285153,97609.75763452477,143.1034003852874,2924.7927512208234,24143.432753908877,220.36783761146967,2441.6764053801053,62428.89725580243,1
-1.1057129877551013,7.10926306122449,18.78107684469964,-3.7058257235382257,19385.44553405778,26728.970580439967,132.551247370003,3999.035467388037,18339.2888214881,233.76374116109096,3276.1169409947115,23973.12158346355,0
-1.227630359183672,19.344101183673477,31.34224112672549,-1.5748272171058926,26376.648803688026,41608.34629424894,80.90744813647981,2560.96976361727,25737.44038914977,236.70884422534024,2237.170690599587,36580.64941950998,0
-0.2519608816326528,2.1481306122448984,10.068718865350796,-6.7906907599413655,18770.35441350711,23268.257553317537,856.1059923796329,2003.6308278489785,17506.908070661586,2111.9797476242406,1540.407072752765,21662.38752415125,0
0.6556161061224521,22.71168795918368,26.894828615006816,1.8807282578119344,40916.621913693314,134966.10464136567,71.280601983494,2581.9353283861574,40481.25684860254,106.08664163601364,2240.2140883188167,103725.69558332174,1
-0.2673283836734688,4.743277999999999,15.68175085607672,-5.876157151185501,23424.824904098525,36436.548354532606,676.9377030654047,2022.5843104016571,22152.172434901357,1251.5163612231354,1629.3455000255244,33128.26862559242,1
-0.5363795346938757,13.556102408163262,22.131061796313507,-3.7989042717771127,24159.748895409622,94744.21700563256,30.870322911327523,5777.818778831369,23873.37014671963,54.07084441654138,5454.248038065657,62654.86470240284,1
-1.793793551020407,12.311323346938773,26.146758402270677,-2.1082987890829084,24475.313337606334,36559.95385153245,249.45070692154127,2048.7977958268384,23763.763475264583,468.5279680197525,1726.690720437377,32785.69571672074,0
-3.941880391836732,26.40470546938776,36.66218412362357,-1.2369544401852686,24259.24588007891,46409.21331925154,67.08779601971612,2166.102101323055,24012.287310528853,158.5037037037037,1943.844171539961,37218.83345113649,0
0.440867836734695,9.083337224489796,20.985546759267,3.255658318698882,26478.692797340944,67371.542629582,210.2902515358757,2649.5423669873653,25582.227454503303,367.8178265254664,2198.348209783157,57894.38547124271,1
-0.4052611755102037,3.235149306122449,13.256031958156514,-5.416181074381479,18007.115800277727,25781.036104570427,719.2327065144392,2353.9974255652564,16774.115569733603,1239.7525930639515,1790.5865097041044,23634.66638833222,0
